run_num,num_in,variables,seed,epochs,batchsize,learnrate,reg1,reg2,node1,node2,fun1,fun2,trloss,teloss,shloss,trainPE,testPE,showPE,trainCC,testCC,showCC,TT
1,10,F1+V,1,1600,300,0.012,0.001,0.001,25,25,selu,sigmoid,0.362337,0.369982,0.368746,0.805829,0.7985979999999999,0.7563300000000001,0.897882,0.893843,0.874033,86.625248
2,10,F1+V,1,1600,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.361822,0.370091,0.368514,0.806357,0.79848,0.756626,0.898136,0.893767,0.8742049999999999,84.308879
2,10,F1+V,1,1600,300,0.02,0.001,0.001,25,25,selu,sigmoid,0.362286,0.370482,0.368742,0.805888,0.798042,0.7562939999999999,0.898172,0.893674,0.873776,87.127847
3,10,F1+V,1,1600,300,0.1,0.001,0.001,25,25,selu,sigmoid,0.358586,0.368266,0.363222,0.809675,0.800435,0.763323,0.9020379999999999,0.89499,0.8770020000000001,82.78757
4,10,F1+V,1,1600,300,0.5,0.001,0.001,25,25,selu,sigmoid,0.667033,0.7102510000000001,0.6227010000000001,0.284212,0.25325,0.226678,0.405199,0.497381,0.860165,83.574263
5,10,F1+V,1,1600,300,0.1,0.001,0.001,10,10,selu,sigmoid,0.3598,0.368737,0.36540700000000004,0.808415,0.799878,0.760415,0.9009299999999999,0.894927,0.87615,76.085196
5,10,F1+V,1,1600,300,0.1,0.001,0.001,10,10,sigmoid,sigmoid,0.364521,0.373571,0.371443,0.8032239999999999,0.7945300000000001,0.7516649999999999,0.8980450000000001,0.891725,0.8724370000000001,76.919641
6,10,F1+V,1,1600,300,0.1,0.001,0.001,10,10,selu,selu,0.361001,0.370674,0.365517,0.807163,0.797852,0.76061,0.900042,0.893951,0.876552,78.437647
7,10,F1+V,1,1600,300,0.1,0.001,0.001,20,10,selu,sigmoid,0.359867,0.370662,0.366903,0.808292,0.797746,0.758523,0.900739,0.893798,0.8756950000000001,93.841895
8,10,F1+V,1,1000,300,0.1,0.001,0.001,10,10,selu,sigmoid,0.36551500000000003,0.37451100000000004,0.369787,0.8021689999999999,0.793461,0.7541770000000001,0.89994,0.892445,0.8764629999999999,55.701921
9,10,F1+V,1,1600,300,0.1,0.0001,0.001,10,10,selu,sigmoid,0.349036,0.365588,0.3607010000000001,0.8198139999999999,0.8033140000000001,0.766541,0.907359,0.897106,0.878548,77.653667
10,10,F1+V,1,1600,300,0.1,0.0001,0.0001,10,10,selu,sigmoid,0.334536,0.382235,0.364027,0.834399,0.785008,0.7618020000000001,0.9157219999999999,0.8872270000000001,0.876548,78.546273
11,10,F1+N,1,1600,300,0.1,0.0001,0.001,10,10,selu,sigmoid,0.356423,0.383178,0.37132,0.8121689999999999,0.783984,0.754251,0.903433,0.886603,0.87295,79.63245
12,10,F1+P,1,1600,300,0.1,0.0001,0.001,10,10,selu,sigmoid,0.348548,0.391341,0.37706999999999996,0.820269,0.7746649999999999,0.744291,0.90854,0.880893,0.86611,76.191539
13,10,F1+AE,1,1600,300,0.1,0.0001,0.001,10,10,selu,sigmoid,0.343585,0.373562,0.361766,0.8253860000000001,0.7947390000000001,0.7649859999999999,0.910909,0.892076,0.8781620000000001,75.77859699999998
14,15,F1+V+AE,1,1600,300,0.1,0.0001,0.001,15,15,selu,sigmoid,0.309143,0.341185,0.33068400000000003,0.858619,0.828766,0.801208,0.9294370000000001,0.9106790000000001,0.898732,84.538834
15,15,F1+V+P,1,1600,300,0.1,0.0001,0.001,15,15,selu,sigmoid,0.316574,0.348992,0.342379,0.8515719999999999,0.820667,0.7882170000000001,0.925504,0.906752,0.8924209999999999,82.675892
16,15,F1+V+T,1,1600,300,0.1,0.0001,0.001,15,15,selu,sigmoid,0.3455,0.369334,0.362548,0.823415,0.799268,0.763104,0.9095770000000001,0.8945709999999999,0.8764290000000001,85.145472
17,15,F1+V+Bt,1,1600,300,0.1,0.0001,0.001,15,15,selu,sigmoid,0.324577,0.366624,0.35185900000000003,0.844108,0.80209,0.775219,0.921104,0.895891,0.884367,82.115997
18,15,F1+V+AE,1,1600,300,0.1,0.001,0.001,15,15,selu,sigmoid,0.32042,0.33603099999999997,0.331449,0.8480709999999999,0.833865,0.800697,0.9229620000000001,0.9137370000000001,0.898553,81.206824
20,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,1,1600,300,0.012,0.001,0.001,25,25,selu,sigmoid,0.28095,0.310203,0.30795300000000003,0.8832200000000001,0.8583219999999999,0.8286610000000001,0.940551,0.927024,0.914592,103.538877
21,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,1,1600,300,0.012,0.001,0.001,20,20,selu,sigmoid,0.27978200000000003,0.310666,0.30797399999999997,0.8841690000000001,0.857885,0.828584,0.940999,0.926781,0.9145559999999999,98.337099
22,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,1,1600,300,0.011,0.001,0.001,25,25,selu,sigmoid,0.278663,0.309684,0.30718,0.8850790000000001,0.8588180000000001,0.8293780000000001,0.94152,0.927333,0.914927,101.961093
23,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,1,1600,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.278321,0.30954899999999996,0.306503,0.885374,0.8589110000000001,0.830096,0.941556,0.927318,0.9153309999999999,103.889555
25,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,2,1600,300,0.008,0.001,0.001,25,25,selu,sigmoid,0.276647,0.309083,0.307695,0.886733,0.8593299999999999,0.828578,0.942127,0.927382,0.914753,101.678154
26,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,3,1600,300,0.008,0.001,0.001,25,25,selu,sigmoid,0.27603099999999997,0.30969,0.30764,0.887238,0.858784,0.828786,0.9424680000000001,0.927148,0.914819,99.42016600000001
27,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,4,1600,300,0.008,0.001,0.001,25,25,selu,sigmoid,0.275405,0.309081,0.306517,0.887776,0.859332,0.830043,0.942802,0.927504,0.915364,99.485118
28,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,5,1600,300,0.008,0.001,0.001,25,25,selu,sigmoid,0.274997,0.310449,0.307772,0.888107,0.8580840000000001,0.8283969999999999,0.9429709999999999,0.9267850000000001,0.914517,98.967653
31,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,2,1600,300,0.009000000000000001,0.001,0.001,25,25,selu,sigmoid,0.27685,0.310073,0.307915,0.886559,0.858424,0.828413,0.942168,0.927016,0.914543,99.578628
32,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,3,1600,300,0.009000000000000001,0.001,0.001,25,25,selu,sigmoid,0.276457,0.309657,0.307612,0.886878,0.858817,0.828772,0.942341,0.927271,0.9148069999999999,99.344562
33,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,4,1600,300,0.009000000000000001,0.001,0.001,25,25,selu,sigmoid,0.27624,0.310215,0.306975,0.887058,0.8583069999999999,0.8294879999999999,0.94248,0.926955,0.91515,100.855411
41,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,2,1600,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.277387,0.310204,0.30738499999999996,0.886114,0.858326,0.829083,0.9420069999999999,0.9270459999999999,0.9147860000000001,99.49006700000001
42,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,3,1600,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.27681500000000003,0.309792,0.307923,0.886591,0.858725,0.828567,0.942252,0.927289,0.914445,99.830838
43,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,4,1600,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.276097,0.310564,0.30739,0.887144,0.8579889999999999,0.829218,0.942616,0.926866,0.9148069999999999,99.406471
44,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,5,1600,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.275439,0.31111300000000003,0.307125,0.887748,0.857475,0.829304,0.942895,0.926603,0.91467,99.41761
45,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,6,1600,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.277098,0.31138499999999997,0.308408,0.886357,0.8572569999999999,0.827923,0.9420870000000001,0.9264100000000001,0.9142239999999999,99.90567
51,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,2,1600,300,0.011,0.001,0.001,25,25,selu,sigmoid,0.278214,0.311139,0.30728,0.885438,0.857476,0.829142,0.941702,0.926599,0.914711,99.378086
52,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,3,1600,300,0.011000000000000001,0.001,0.001,25,25,selu,sigmoid,0.27673400000000004,0.310278,0.30772,0.8866229999999999,0.8582639999999999,0.8286399999999999,0.94232,0.926998,0.914377,98.996673
53,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,4,1600,300,0.011,0.001,0.001,25,25,selu,sigmoid,0.276192,0.31006100000000003,0.307743,0.887084,0.8584700000000001,0.8287120000000001,0.942649,0.927167,0.914335,99.601064
54,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,5,1600,300,0.011000000000000001,0.001,0.001,25,25,selu,sigmoid,0.275537,0.311342,0.30793899999999996,0.887631,0.857299,0.828357,0.942917,0.9265459999999999,0.914135,98.65944499999999
55,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,6,1600,300,0.011,0.001,0.001,25,25,selu,sigmoid,0.277294,0.311658,0.308293,0.886214,0.8570139999999999,0.827991,0.94206,0.926326,0.914145,99.323802
61,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,2,1400,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.277512,0.30845,0.30901999999999996,0.8860030000000001,0.859923,0.8267530000000001,0.941486,0.927449,0.914055,89.313108
62,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,3,1400,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.276725,0.308344,0.309424,0.886648,0.8600180000000001,0.8262459999999999,0.941803,0.927456,0.913739,89.513279
63,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,4,1400,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.275955,0.308692,0.308043,0.8872459999999999,0.8596959999999999,0.828092,0.942159,0.92732,0.9143819999999999,89.503123
64,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,5,1400,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.275523,0.309024,0.308395,0.887659,0.8593790000000001,0.82726,0.942375,0.927108,0.914023,89.617389
65,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,6,1400,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.277179,0.31006500000000004,0.309763,0.88628,0.858475,0.8258790000000001,0.941629,0.926637,0.913607,89.404803
71,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,2,1600,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.277387,0.310204,0.307385,0.886114,0.858326,0.829083,0.942007,0.927046,0.914786,102.580684
